Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
1,U1,Jaguar XJL Portfolio V6 D Limousine,Diesel,24.1,66089,4140,Miles,23.03
12,FL65FBA,Vauxhall CORSA  CDTI Car,Diesel,45.1,6075,1958,Miles,43.09
13,MJ16XMY,Vauxhall Mokka 4x4 Utility Vehicle,Diesel,43.73,21650,5060,Miles,41.78
18,YD16NAK,Peugeot 308 Car Car,Diesel,53.23,64740,42009,Miles,50.86
20,YH17VCF,Peugeot Expert Combi 9 seat MPV,Diesel,36.9,19023,8934,Miles,35.26
80,YC59GZB,Ford Kuga Zetec 4x4 Utility Vehicle,Diesel,38.37,72335,4113,Miles,36.66
84,YG10TZO,Peugeot Expert Welfare MPV Welfare,Diesel,31.28,81457,5950,Miles,29.89
85,YG10KZK,Peugeot Expert Welfare MPV Welfare,Diesel,33.22,110090,6279,Miles,31.74
86,YP59ZSK,Ford Mondeo car Car,Diesel,25.94,51832,2978,Miles,24.79
98,YD14UWM,Peugeot Expert Tepee MPV,Diesel,35.9,54309,7070,Miles,34.3
106,YF13TLN,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,43.22,38118,2512,Miles,41.3
107,YB13YCG,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,44.8,46493,5758,Miles,42.81
201,YJ16CVB,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.56,29058,10480,Miles,17.73
202,YJ16CVA,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.06,39094,10222,Miles,17.26
203,YJ16CVX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,19.98,46858,13380,Miles,19.09
204,YJ16CVR,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,17.91,32245,6856,Miles,17.11
205,YJ16CVS,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,19.68,68201,19145,Miles,18.8
206,YJ16CVT,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,17.95,30076,4693,Miles,17.15
207,YJ16CRZ,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.37,34624,9078,Miles,17.55
208,YJ16CRX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.25,43537,13342,Miles,19.35
209,YJ16 CRV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.26,67761,17113,Miles,19.36
210,YJ16CUO,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.46,47703,12904,Miles,17.64
211,YJ16CUC,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.02,36051,11040,Miles,17.22
212,YJ16CVF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.42,42496,9795,Miles,17.6
213,YJ16CPY,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.07,39766,10408,Miles,19.18
214,YJ16CPX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.3,35305,8649,Miles,19.4
215,YJ16CPZ,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,18.73,36828,8408,Miles,17.9
216,YJ16CPU,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,21.28,31545,9674,Miles,20.33
217,YJ16CPN,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.06,31604,8799,Miles,19.17
218,YJ16CSZ,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,21.65,49043,14371,Miles,20.69
219,YJ16CRF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,19.81,24657,8300,Miles,18.93
220,YJ16CSY,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,21.7,47022,13238,Miles,20.73
221,YJ16CPV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,20.65,37647,12024,Miles,19.73
